ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y
224,541,180,358,346,574
229,519,177,359,341,590
235,501,172,363,334,606
236,484,168,368,327,621
239,467,164,375,318,634
244,450,160,384,308,643
248,436,155,394,299,650
251,423,151,407,289,655
254,411,146,421,280,655
258,401,141,436,272,652
261,394,138,452,263,646
264,390,134,469,256,636
268,385,132,485,249,622
271,382,129,500,243,605
274,382,125,517,236,583
278,380,124,535,230,564
281,382,124,551,226,542
284,386,126,572,224,522
286,394,128,591,221,502
289,401,132,609,219,485
