ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y
543,607,505,400,684,448,422,909
547,567,502,388,688,542,431,923
552,527,500,380,692,644,445,929
557,493,497,377,694,750,462,928
561,461,494,378,695,781,481,923
565,433,491,384,696,810,500,912
569,410,488,396,693,828,517,891
574,390,485,412,679,844,528,860
578,375,483,432,661,861,534,817
583,365,480,459,641,879,537,761
590,362,478,491,620,900,536,718
592,356,476,530,600,919,533,673
596,357,471,573,586,931,530,629
599,364,470,622,574,935,524,590
603,375,465,680,569,931,520,555
607,390,462,742,570,917,515,524
611,410,460,791,576,888,510,497
615,434,458,835,582,840,506,475
619,464,462,873,589,791,501,456
622,497,470,906,596,742,497,442
626,535,476,936,605,693,493,433
630,578,488,952,611,653,489,427
637,628,498,960,616,613,485,427
636,676,512,961,626,577,481,431
642,735,522,953,633,544,477,441
644,780,530,933,642,514,472,455
645,814,535,899,648,490,468,474
643,844,538,852,655,469,463,498
639,879,537,801,663,455,459,526
630,910,532,754,670,446,454,559
619,935,530,702,677,442,449,598
608,949,526,662,686,442,444,642
601,953,521,631,693,446,439,691
597,944,517,595,701,456,434,741
598,918,513,563,708,471,437,780
599,871,509,538,715,492,447,820
604,821,505,519,723,517,457,876
609,773,502,503,730,548,473,931
615,732,499,492,738,584,487,967
624,684,496,485,744,627,500,991
